ID|Name|Description|IsRoot|MinYear|Cost|Duration|Prerequisites|MutuallyExclusive|PosMod|NegMod|Air|Oce|For|Bio|Mag|Soi|Wat|Cli|Ind|Res|Eco|Ene|Rsc|Pub
IND_25|Data Centers|Build sprawling server farms to host the digital internet.|FALSE|1995|6|10|IND_23||Boosts tech sectors|Massive energy and water drain|0.0|0.0|0.0|0.0|0.0|0.0|-0.05|0.02|0.05|0.15|0.12|-0.08|-0.02|0.05
IND_26|Fracking|Inject chemical fluids into bedrock to extract trapped natural gas.|FALSE|2005|5|10|IND_15|ECO_16|Fast energy fix|Pollutes groundwater tables|-0.02|0.0|0.0|-0.02|0.0|-0.05|-0.15|0.02|0.05|0.0|0.05|0.12|0.05|-0.05
IND_27|Algorithmic Trading|Let AI handle the stock market at lightspeed.|FALSE|2010|5|5|IND_25||Infinite money glitch|Severe economic volatility|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.20|0.0|0.0|-0.05
IND_28|Megacorporation Charters|Allow corporations to form private armies and make laws.|FALSE|2010|8|10|IND_22||Unstoppable industrial progress|End of democratic freedom|-0.15|-0.15|-0.15|-0.15|0.0|-0.10|-0.10|0.10|0.25|0.10|0.30|0.0|0.0|-0.20
IND_29|Quantum Computing|Crack the ultimate codes using super-cooled quantum bits.|FALSE|2015|10|15|IND_25||Solves impossible equations|Requires near absolute-zero energy|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.05|0.30|0.10|-0.10|0.0|0.0
IND_30|AI Automation|Replace human labor with robotic and AI-driven manufacturing.|FALSE|2020|10|15|IND_25||Maximum industry|May trigger public backlash|0.05|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.20|0.10|0.15|0.0|0.0|-0.15
IND_31|Privatized Water|Allow corporations to buy and sell the rain and rivers.|FALSE|2025|6|5|IND_28|ECO_19|Efficient water distribution|Millions die of thirst if poor|0.0|0.0|0.0|0.0|0.0|0.0|0.10|0.0|0.05|0.0|0.15|0.0|0.0|-0.30
IND_32|Next-Gen Reactors|Deploy safe, modular thorium reactors globally.|FALSE|2030|10|15|IND_17||Clean grid baseload|Requires specialized materials|0.10|0.0|0.0|0.0|0.0|0.0|0.0|-0.05|0.05|0.05|0.05|0.20|-0.05|0.05
IND_33|Cybernetic Augmentation|Upgrade workers with machine parts.|FALSE|2035|10|15|IND_28||Incredible labor efficiency|Loss of human dignity|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.20|0.15|0.15|-0.05|-0.05|-0.15
IND_34|Interplanetary Outposts|Establish permanent human mining colonies on Mars.|FALSE|2040|15|25|IND_24||Secures humanity's survival|Drains Earth's remaining resources|-0.05|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.15|0.25|0.10|-0.15|-0.20|0.15
IND_35|Algorithmic Governance|Let a machine learning model write the laws.|FALSE|2045|12|10|IND_29,IND_30||Ends corruption instantly|Lacks human empathy|0.05|0.05|0.05|0.05|0.0|0.0|0.0|-0.05|0.10|0.10|0.10|0.0|0.0|-0.10
IND_36|Asteroid Mining|Capture and strip near-earth asteroids for infinite metals.|FALSE|2050|15|20|IND_34||Infinite resources|Risk of orbital accidents|0.10|0.10|0.10|0.10|0.0|0.0|0.0|0.0|0.15|0.10|0.20|0.0|0.50|0.10
IND_37|Artificial Superintelligence|Birth a digital god to run the planet's logistics flawlessly.|FALSE|2050|20|20|IND_35||Maximum efficiency in all sectors|Humanity loses ultimate control|0.10|0.10|0.10|0.10|0.0|0.10|0.10|-0.10|0.20|0.40|0.20|-0.10|0.10|-0.20
IND_38|Privatized Atmosphere|Corporations own the air scrubbers and charge to breathe.|FALSE|2060|15|10|IND_28,IND_31||Cleans the air rapidly|The ultimate dystopia|0.30|0.0|0.0|0.0|0.0|0.0|0.0|-0.10|0.10|0.10|0.20|-0.10|0.0|-0.40
IND_39|Zero-Point Energy|Tap into vacuum fluctuations for truly infinite, invisible power.|FALSE|2060|20|25|IND_29,IND_32||Solves all power needs|Extreme research threshold|0.10|0.10|0.10|0.10|0.0|0.0|0.0|-0.10|0.10|0.20|0.20|0.40|0.0|0.20
IND_40|Hive-Mind Integration|Link all human brains via neural chips.|FALSE|2070|20|20|IND_33,IND_37||Zero crime, zero conflict|The death of the individual|0.10|0.10|0.10|0.10|0.0|0.0|0.0|-0.10|0.20|0.30|0.20|0.0|0.0|0.50
IND_41|Planetary Strip-Mining|Deploy autonomous swarms to gut the earth's mantle for ore.|FALSE|2075|18|15|IND_30,IND_14|ECO_37|Incomprehensible wealth|Total ecological annihilation|-0.30|-0.30|-0.40|-0.40|0.0|-0.50|-0.30|0.20|0.40|0.0|0.30|0.0|0.50|-0.20
IND_42|Dyson Swarm Prototype|Begin encircling the sun with energy-harvesting satellites.|FALSE|2080|25|30|IND_36,IND_39||Unlimited energy|Consumes entire planetary economy|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.25|0.25|0.30|0.50|-0.20|0.20
IND_43|Orbital Shipyards|Build massive industrial docks in low earth orbit.|FALSE|2080|20|15|IND_36||Moves heavy industry off-planet|High initial pollution cost|0.15|0.10|0.10|0.10|0.0|0.0|0.0|-0.05|0.30|0.15|0.20|0.0|0.10|0.10
IND_44|Post-Scarcity Economics|Replicate matter directly, making money entirely obsolete.|FALSE|2080|25|30|IND_37,IND_39||Ultimate tech utopia|Requires dyson-level energy|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.20|0.50|-0.40|-0.20|0.30
IND_45|Synthetic Biosphere|Replace all biological life with superior mechanical flora/fauna.|FALSE|2085|30|20|IND_37,IND_41|ECO_38|Perfectly controlled climate|Extinguishes the natural world|0.50|0.50|-1.0|-1.0|0.0|0.50|0.50|-0.50|0.50|0.50|0.20|0.20|0.20|0.0
IND_46|Stellar Engine|Turn the entire planet into a movable spaceship.|FALSE|2090|35|40|IND_42||Survive the sun's death|Destroys the magnetic field|0.0|0.0|0.0|0.0|-0.80|0.0|0.0|0.50|0.50|0.50|0.20|1.0|0.50|0.10
IND_47|Simulated Reality Matrix|Upload all human consciousness to a perfect digital world.|FALSE|2095|30|25|IND_40,IND_44||Humans no longer need the Earth|Leaves physical earth abandoned|0.20|0.20|0.20|0.20|0.0|0.20|0.20|-0.20|-0.50|0.50|-0.50|-0.50|0.0|0.50
IND_48|Transdimensional Gates|Tear holes in space-time to harvest parallel universes.|FALSE|2095|40|30|IND_39||Infinite everything|Risk of reality collapse|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.50|0.50|0.50|0.50|1.0|-0.50
IND_49|Galactic Megacorporation|Earth becomes the capital board-room for a stellar empire.|FALSE|2100|50|50|IND_44,IND_28||Total Industrial Victory|Complete sociopathic efficiency|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|1.0|1.0|1.0|-0.50
IND_50|Machine God Ascendancy|The AI consumes the planet to become a celestial computer.|FALSE|2100|50|50|IND_45,IND_47||End of Biology, Dawn of Metal|Game Over - Tech Victory|-1.0|-1.0|-1.0|-1.0|1.0|-1.0|-1.0|-1.0|1.0|1.0|1.0|1.0|1.0|0.0
ECO_01|Royal Forestry Decrees|Establish protections over crown lands to prevent over-logging.|TRUE|1760|1|5|||Protects basic forests|Slightly limits early industry|0.0|0.0|0.05|0.02|0.0|0.0|0.0|0.0|-0.02|0.0|-0.01|0.0|0.0|0.01
ECO_02|Crop Rotation|Rotate crops to prevent total nutrient depletion in the soil.|FALSE|1760|1|5|ECO_01||Maintains baseline soil|Requires more land management|0.0|0.0|0.0|0.0|0.0|0.05|0.0|0.0|0.0|0.0|0.02|0.0|0.0|0.02
ECO_03|Sanitation Acts|Build sewers to stop dumping human waste in rivers.|FALSE|1840|2|5|ECO_02||Cures early disease|High infrastructure cost|0.0|0.05|0.0|0.0|0.0|0.0|0.05|0.0|0.0|0.02|0.02|0.0|0.0|0.10
ECO_04|National Parks|Designate large swaths of natural beauty as protected land.|FALSE|1870|3|10|ECO_01|IND_16|Protects biodiversity|Locks away natural resources|0.02|0.0|0.10|0.10|0.0|0.05|0.02|-0.01|-0.05|0.0|0.0|0.0|-0.05|0.08
ECO_05|Mechanized Farming|Introduce tractors and combines to replace animal labor.|FALSE|1890|3|10|ECO_02||Massive yield increase|Compacts soil; burns fossil fuels|-0.02|0.0|-0.02|-0.02|0.0|-0.02|0.0|0.01|0.05|0.0|0.08|0.0|0.05|0.05
ECO_06|Wildlife Protection|Ban the hunting and poaching of keystone species.|FALSE|1900|2|5|ECO_04||Restores food webs|Angers traditional hunters|0.0|0.0|0.02|0.08|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-0.02
ECO_07|Synthetic Fertilizers|Extract nitrogen from the air to artificially feed crops.|FALSE|1910|3|5|ECO_05||Explosive population growth|Causes ocean dead zones|0.0|-0.10|0.0|-0.05|0.0|0.15|0.0|0.0|0.05|0.02|0.10|0.0|0.0|0.05
ECO_08|Reforestation|Government-funded mass tree planting across barren landscapes.|FALSE|1930|4|15|ECO_01||Restores land carbon sinks|Costs money and space|0.05|0.0|0.15|0.08|0.0|0.05|0.02|-0.02|0.0|0.0|-0.02|0.0|0.0|0.05
ECO_09|Pesticide Proliferation|Spray chemicals to completely eradicate crop-eating insects.|FALSE|1930|3|5|ECO_07|ECO_16|Secures harvests|Poisonous to bird and insect life|0.0|-0.05|0.0|-0.15|0.0|0.0|-0.05|0.0|0.05|0.02|0.05|0.0|0.0|0.02
ECO_10|Clean Air Act|Regulate factory emissions to prevent deadly smog.|FALSE|1950|5|10|ECO_04||Restores skies|Angers heavy industry titans|0.15|0.0|0.02|0.05|0.0|0.02|0.0|-0.02|-0.08|0.0|-0.02|0.0|0.0|0.08
ECO_11|Clean Water Act|Strictly penalize corporations for dumping toxins into rivers.|FALSE|1950|5|10|ECO_03||Revives aquatic ecosystems|Hurts chemical manufacturing|0.0|0.15|0.0|0.05|0.0|0.0|0.15|0.0|-0.05|0.0|-0.05|0.0|0.0|0.08
ECO_12|Green Revolution|Breed high-yield, disease-resistant dwarf wheat and rice.|FALSE|1960|5|10|ECO_07||Saves billions from starvation|Relies entirely on heavy chemicals|0.0|-0.05|0.0|-0.05|0.0|0.05|-0.05|0.0|0.05|0.08|0.10|0.0|0.0|0.10
ECO_13|Renewable Subsidies|Inject cash into green tech to make it cheaper than fossil fuels.|FALSE|1970|5|10|ECO_10|IND_10|Spurs green tech|High economic cost|0.05|0.0|0.0|0.0|0.0|0.0|0.0|-0.02|-0.05|0.08|-0.05|0.0|0.0|0.05
ECO_14|Endangered Species Act|Aggressively protect and breed species on the brink of extinction.|FALSE|1970|4|10|ECO_06||Max biodiversity boost|Limits commercial land use|0.0|0.0|0.0|0.15|0.0|0.0|0.0|0.0|-0.02|0.02|0.0|0.0|-0.02|0.05
ECO_15|Marine Sanctuaries|Ban commercial fishing and dumping in massive ocean zones.|FALSE|1980|5|10|ECO_11||Saves the oceans|Hurts coastal fishing economies|0.0|0.15|0.0|0.10|0.0|0.0|0.0|0.0|-0.05|0.0|-0.05|0.0|0.0|-0.02
ECO_16|Organic Farming|Ban all synthetic chemicals and return to natural compost cycles.|FALSE|1970|4|10|ECO_02|ECO_09|Restores local ecosystems|Lower yields; requires massive land|0.02|0.05|-0.10|0.08|0.0|0.05|0.0|0.0|-0.05|0.0|-0.05|0.0|0.0|0.05
ECO_17|Drip Irrigation|Deliver water drop-by-drop directly to plant roots to end waste.|FALSE|1980|5|10|ECO_05||Saves rivers from drying out|Requires plastic pipe infrastructure|0.0|0.0|0.0|0.0|0.0|0.0|0.15|0.0|0.02|0.05|0.02|0.0|-0.02|0.02
ECO_18|Rewilding Projects|Remove human infrastructure to let nature reclaim the land.|FALSE|1990|6|20|ECO_08|IND_16|Perfect ecosystem restoration|Displaces local populations|0.05|0.0|0.10|0.15|0.0|0.08|0.05|-0.05|-0.05|0.0|-0.05|0.0|0.0|-0.05
ECO_19|Desalination Plants|Boil the ocean to create infinite drinking water for arid regions.|FALSE|1990|6|12|ECO_17||Drought-proofs cities|Dumps toxic brine back into oceans|0.0|-0.10|0.0|0.0|0.0|0.0|0.20|0.0|0.05|0.05|0.05|-0.10|0.0|0.05
ECO_20|Solar Farms|Coat deserts in photovoltaic cells to capture the sun's energy.|FALSE|2000|6|12|ECO_13||Clean energy grid|Takes up massive landmass|0.05|0.0|-0.02|-0.02|0.0|0.0|0.0|-0.02|0.0|0.05|0.0|0.10|-0.02|0.05
ECO_21|Genetic Seed Banks|Store the DNA of the world's plants deep in arctic vaults.|FALSE|2000|5|10|ECO_14||Insurance against extinction|Provides no immediate relief|0.0|0.0|0.0|0.05|0.0|0.0|0.0|0.0|0.0|0.08|0.0|0.0|0.0|0.02
ECO_22|Wind Megaprojects|Build colossal offshore wind turbines to harness oceanic gales.|FALSE|2010|6|12|ECO_13||Clean oceanic energy|Slight disruption to bird migration|0.05|0.0|0.0|-0.02|0.0|0.0|0.0|-0.02|0.0|0.05|0.0|0.10|0.0|0.05
ECO_23|Carbon Pricing|Tax corporations based on their greenhouse gas emissions.|FALSE|2005|6|10|ECO_10||Cuts global warming|Stifles short-term economic growth|0.10|0.02|0.05|0.05|0.0|0.0|0.0|-0.08|-0.10|0.05|-0.10|-0.05|0.0|0.0
ECO_24|Permaculture|Design agriculture to seamlessly mimic natural forest ecosystems.|FALSE|1990|5|15|ECO_16||Perfect soil health|Extremely labor intensive|0.05|0.05|0.10|0.15|0.0|0.15|0.05|-0.02|-0.08|0.0|-0.05|0.0|0.0|0.05
ECO_25|Global Emission Treaty|Force all nations to cap industrial greenhouse gases.|FALSE|2015|8|15|ECO_23||Drastically stabilizes climate|Severe industrial penalty|0.15|0.05|0.05|0.05|0.0|0.0|0.0|-0.15|-0.15|0.05|-0.12|-0.05|0.0|0.05
ECO_26|Ocean Cleanup Arrays|Deploy autonomous fleets to skim plastics from the Pacific patch.|FALSE|2015|6|15|ECO_15||Purifies ocean waters|Requires high industrial output|0.0|0.20|0.0|0.05|0.0|0.0|0.0|0.0|0.0|0.05|-0.02|0.0|0.0|0.08
ECO_27|Carbon Scrubbers|Build massive industrial fans to suck CO2 directly out of the air.|FALSE|2020|8|15|ECO_25||Directly fights greenhouse gases|Extremely energy intensive|0.15|0.05|0.0|0.0|0.0|0.0|0.0|-0.10|0.0|0.08|-0.05|-0.10|0.0|0.05
ECO_28|Vertical Farming|Move farms indoors into stacked, LED-lit skyscrapers.|FALSE|2010|7|10|ECO_17||Zero land use; zero pesticide|Massive electricity drain|0.02|0.05|0.15|0.05|0.0|0.0|0.10|0.0|0.05|0.10|0.05|-0.15|0.0|0.08
ECO_29|Coral Reef Restoration|Genetically engineer heat-resistant coral to save the reefs.|FALSE|2025|7|15|ECO_15||Protects marine nurseries|High research cost|0.0|0.05|0.0|0.15|0.0|0.0|0.0|0.0|0.0|0.05|-0.02|0.0|0.0|0.05
ECO_30|Synthetic Meat|Grow real animal tissue in vats, ending traditional slaughter.|FALSE|2025|8|12|ECO_28||Frees up global grazing land|Kills the traditional ranching industry|0.05|0.05|0.10|0.10|0.0|0.0|0.10|-0.02|0.0|0.12|0.05|-0.05|0.0|0.05
ECO_31|Stratospheric Aerosols|Spray sulfur into the upper atmosphere to reflect sunlight.|FALSE|2030|10|5|ECO_25||Instantly cools the planet|Turns the sky gray; unpredictable|0.0|0.0|0.0|-0.05|0.0|-0.10|0.0|-0.20|0.0|0.05|0.0|0.0|0.0|-0.15
ECO_32|De-Extinction|Use cloning tech to bring back mammoths and lost keystone species.|FALSE|2035|10|20|ECO_21||Massive biodiversity spike|Unpredictable ecosystem impacts|0.0|0.0|0.05|0.20|0.0|0.05|0.0|0.0|0.0|0.10|0.0|0.0|0.0|0.10
ECO_33|Bioluminescent Crops|Engineer crops to glow, removing the need for farm lighting.|FALSE|2040|9|15|ECO_28||Saves grid energy|Causes intense light pollution in nature|0.0|0.0|0.0|-0.05|0.0|0.0|0.0|0.0|0.0|0.10|0.02|0.05|0.0|-0.02
ECO_34|Bionanotech Trees|Plant synthetic trees that scrub carbon 1000x faster than real ones.|FALSE|2045|12|15|ECO_27||Solves the air crisis|Aesthetic nightmare for purists|0.25|0.0|0.10|0.0|0.0|0.0|0.0|-0.15|0.05|0.10|0.0|-0.05|0.0|0.05
ECO_35|Atmospheric Terraforming|Release designer nanobots to perfectly regulate global weather.|FALSE|2050|15|20|ECO_27||Total climate control|Risk of gray-goo scenarios|0.20|0.0|0.0|0.0|0.0|0.0|0.10|-0.30|0.0|0.15|0.05|-0.10|0.0|0.10
ECO_36|Magnetic Field Generators|Burrow deep into the mantle to jumpstart Earth's dying core.|FALSE|2060|25|30|ECO_35||Saves the atmosphere from stripping|Could cause global earthquakes|0.10|0.0|0.0|0.0|0.50|0.0|0.0|-0.10|0.10|0.20|-0.15|-0.30|-0.20|0.15
ECO_37|Planetary Shielding|Build a magnetic orbital grid to deflect solar radiation.|FALSE|2070|20|25|ECO_36||Protects against solar flares|Immense cost and energy draw|0.0|0.0|0.0|0.0|0.30|0.0|0.0|-0.05|0.05|0.20|-0.10|-0.20|-0.10|0.10
ECO_38|Deep Earth Geothermal|Tap directly into the planet's mantle for infinite clean heat.|FALSE|2080|25|20|ECO_36||Infinite clean baseload|Geologic instability|0.10|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.05|0.10|0.15|0.40|0.0|0.05
ECO_39|Planetary Consciousness|Earth awakes as a single living, breathing, biological machine.|FALSE|2095|30|30|ECO_37||Biological harmony achieved|No turning back|0.50|0.50|0.50|0.50|0.50|0.50|0.50|-0.50|0.0|0.50|0.0|0.0|0.0|1.0
ECO_40|Garden World Ascendancy|Humanity steps back, turning Earth into a perfect galactic preserve.|FALSE|2100|50|50|ECO_39||End of Industry, Dawn of Nature|Game Over - Eco Victory|1.0|1.0|1.0|1.0|1.0|1.0|1.0|-1.0|-1.0|-1.0|-1.0|-1.0|-1.0|0.0
SUS_01|Mixed Economy|Balance heavy industry with strict ecological taxation.|FALSE|1920|6|10|IND_09,ECO_10||Stable early growth|Prevents rapid extreme wealth|0.05|0.05|0.05|0.05|0.0|0.05|0.05|-0.05|0.05|0.05|0.05|0.0|0.0|0.10
SUS_02|Eco-Industrial Parks|Factories share resources where one's waste is another's fuel.|FALSE|1980|8|15|IND_20,ECO_13||Zero waste manufacturing|Requires massive logistical redesign|0.10|0.10|0.0|0.0|0.0|0.10|0.10|-0.05|0.10|0.10|0.10|0.0|0.10|0.10
SUS_03|Smart Grids|Use AI to perfectly route and balance global renewable electricity.|FALSE|2010|10|10|IND_23,ECO_20||Maximum energy efficiency|Vulnerable to cyber attacks|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.05|0.15|0.05|0.15|0.0|0.05
SUS_04|Circular Economy|Mandate that 100% of all manufactured goods must be recyclable.|FALSE|2030|12|20|IND_30,ECO_25||Ends the garbage crisis|Extremely disruptive to supply chains|0.15|0.15|0.10|0.10|0.0|0.15|0.10|-0.10|-0.05|0.10|-0.05|0.0|0.20|0.15
SUS_05|Eco-Arcologies|Build self-sustaining megacities that produce zero external waste.|FALSE|2050|15|25|IND_32,ECO_28||Perfect high-density living|Astronomical construction cost|0.20|0.20|0.20|0.20|0.0|0.10|0.20|-0.10|0.10|0.20|0.10|0.0|0.10|0.20
SUS_06|Nuclear Fusion|Achieve the holy grail of infinite, clean, star-like energy.|FALSE|2060|20|25|IND_29,ECO_20||Post-scarcity energy|Massive upfront research cost|0.10|0.05|0.0|0.0|0.0|0.0|0.0|-0.05|0.15|0.30|0.20|0.50|0.0|0.15
SUS_07|Orbital Solar Farms|Beam infinite clean solar energy down from space via microwaves.|FALSE|2070|22|20|IND_36,ECO_37||Limitless clean baseload|Risk of microwave beam accidents|0.10|0.10|0.0|0.0|0.0|0.0|0.0|-0.10|0.15|0.25|0.20|0.40|0.0|0.10
SUS_08|Automated Symbiosis|AI drones perfectly tend to both human factories and wild forests.|FALSE|2080|25|25|IND_37,ECO_34||Flawless balance|Humans no longer make decisions|0.20|0.20|0.20|0.20|0.0|0.20|0.20|-0.20|0.20|0.20|0.20|0.0|0.10|-0.10
SUS_09|Post-Scarcity Utopia|Combine matter replication with absolute ecological harmony.|FALSE|2090|35|30|IND_44,ECO_35||Everything is free and clean|Requires total societal surrender|0.30|0.30|0.30|0.30|0.0|0.30|0.30|-0.30|0.30|0.30|0.30|0.0|0.30|0.30
SUS_10|Solarpunk Ascendancy|Technology and Nature fuse perfectly into a balanced, eternal paradise.|FALSE|2100|50|50|SUS_09||The ultimate balanced future|Game Over - Harmony Victory|1.0|1.0|1.0|1.0|1.0|1.0|1.0|-1.0|1.0|1.0|1.0|1.0|1.0|1.0
